Year,Quarter,Revenues
2001,Q1,318014
2001,Q2,331936
2001,Q3,328494
2001,Q4,376750
2002,Q1,336407
2002,Q2,350116
2002,Q3,348218
2002,Q4,386157
2003,Q1,354328
2003,Q2,364786
2003,Q3,379846
2003,Q4,428026
2004,Q1,394605
2004,Q2,405436
2004,Q3,409756
2004,Q4,456698
2005,Q1,426016
2005,Q2,442583
2005,Q3,446121
2005,Q4,497431
2006,Q1,468162
2006,Q2,486976
2006,Q3,484736
2006,Q4,531759
2007,Q1,497962
2007,Q2,510044
2007,Q3,502914
2007,Q4,550966
2008,Q1,511164
2008,Q2,531846
2008,Q3,518200
2008,Q4,533129
2009,Q1,486449
2009,Q2,497963
2009,Q3,497407
2009,Q4,549828
2010,Q1,519947
2010,Q2,530182
2010,Q3,526308
2010,Q4,581299
2011,Q1,554383
2011,Q2,580937
2011,Q3,572400
2011,Q4,617801
2012,Q1,589462
2012,Q2,593882
2012,Q3,589576
2012,Q4,643620
2013,Q1,603869
2013,Q2,623097
2013,Q3,622577
2013,Q4,675573
2014,Q1,624871
2014,Q2,655373
2014,Q3,651860
2014,Q4,703542
2015,Q1,635681
2015,Q2,669908
2015,Q3,670756
2015,Q4,717422
2016,Q1,664276
2016,Q2,694267
2016,Q3,694279
2016,Q4,751312
2017,Q1,690375
2017,Q2,718917
2017,Q3,722419
2017,Q4,785449
2018,Q1,729318
2018,Q2,766129
2018,Q3,760238
2018,Q4,825060
2019,Q1,745722
2019,Q2,788979
2019,Q3,785350
2019,Q4,853676
2020,Q1,770443
2020,Q2,816886
2020,Q3,846020
2020,Q4,917944
2021,Q1,887025
2021,Q2,954197
2021,Q3,935794
2021,Q4,1009999
2022,Q1,958959
2022,Q2,1019290
2022,Q3,989669
2022,Q4,1027911
2023,Q1,952117
2023,Q2,1034238
2023,Q3,1036407
2023,Q4,1059059
